Trial,Coherence,Noah Responses,Corey Responses,Jack Responses,Andrea Responses,Emily Responses
1,-0.25,0.998970251716,0.0645748987854,0.49492481203,-0.0131578947368,0.00447368421053
1,-0.35,0.945709382151,-0.0306680161943,0.471240601504,-0.0587719298246,0.0113157894737
1,-0.25,0.869908466819,-0.112044534413,0.454511278195,-0.084649122807,-0.0215789473684
1,-0.15,0.759782608696,-0.195850202429,0.440789473684,-0.101973684211,-0.0863157894737
1,-0.05,0.590789473684,-0.183704453441,0.362030075188,-0.122149122807,-0.135526315789
1,0.0,0.383981693364,-0.196761133603,0.293421052632,-0.13399122807,-0.206052631579
1,0.05,0.161384439359,-0.217307692308,0.257518796992,-0.159868421053,-0.296052631579
1,0.15,0.0477688787185,-0.156781376518,0.179511278195,-0.174122807018,-0.368684210526
1,0.25,-0.0639588100686,-0.101214574899,0.146992481203,-0.217324561404,-0.420263157895
1,0.35,-0.12700228833,-0.106072874494,0.106578947368,-0.250438596491,-0.450263157895
1,0.35,-0.309038901602,-0.187449392713,-0.0486842105263,-0.271929824561,-0.470526315789
1,0.35,-0.468592677346,-0.309412955466,-0.144172932331,-0.308333333333,-0.486842105263
1,0.35,-0.560068649886,-0.370344129555,-0.185338345865,-0.323026315789,-0.572894736842
1,0.35,-0.669908466819,-0.403441295547,-0.212969924812,-0.316666666667,-0.661315789474
1,0.35,-0.75938215103,-0.457287449393,-0.23045112782,-0.316885964912,-0.704473684211
1,0.35,-0.798798627002,-0.539372469636,-0.269736842105,-0.372587719298,-0.747105263158
1,0.35,-0.688901601831,-0.568117408907,-0.290601503759,-0.404605263158,-0.825
1,0.35,-0.44290617849,-0.563967611336,-0.313909774436,-0.426096491228,-0.913947368421
1,0.35,-0.230034324943,-0.507186234818,-0.335714285714,-0.441666666667,-0.786842105263
1,0.35,-0.108581235698,-0.477024291498,-0.361090225564,-0.454166666667,-0.612368421053
1,0.35,0.0310640732265,-0.448684210526,-0.409962406015,-0.473026315789,-0.507105263158
1,0.35,0.166933638444,-0.430769230769,-0.49492481203,-0.491228070175,-0.470263157895
1,0.35,0.206864988558,-0.404453441296,-0.566541353383,-0.507675438596,-0.455526315789
1,0.35,0.24090389016,-0.382085020243,-0.602631578947,-0.509649122807,-0.440526315789
1,0.35,0.311784897025,-0.348582995951,-0.627819548872,-0.379605263158,-0.419473684211
1,0.35,0.371967963387,-0.318825910931,-0.646992481203,-0.221710526316,-0.402631578947
1,0.35,0.431350114416,-0.261133603239,-0.662781954887,-0.126315789474,-0.372631578947
1,0.35,0.491075514874,-0.196659919028,-0.684586466165,-0.0754385964912,-0.357105263158
1,0.35,0.527574370709,-0.158400809717,-0.707518796992,-0.043201754386,-0.299210526316
1,0.35,0.560526315789,-0.112955465587,-0.690037593985,-0.0166666666667,-0.246842105263
1,0.35,0.590446224256,-0.0544534412955,-0.564473684211,0.0811403508772,-0.194473684211
1,0.35,0.620022883295,-0.00425101214575,-0.499812030075,0.188596491228,-0.145789473684
1,0.35,0.652688787185,0.0660931174089,-0.439661654135,0.244956140351,-0.126578947368
1,0.35,0.698226544622,0.139473684211,-0.40545112782,0.291447368421,-0.112368421053
1,0.35,0.735926773455,0.266599190283,-0.367481203008,0.345394736842,-0.0905263157895
1,0.35,0.769050343249,0.385829959514,-0.329135338346,0.406359649123,-0.0739473684211
1,0.35,0.800228832952,0.461437246964,-0.298308270677,0.449342105263,-0.0607894736842
1,0.35,0.838958810069,0.495647773279,-0.261466165414,0.525877192982,-0.0526315789474
1,0.35,0.912871853547,0.526417004049,-0.180827067669,0.568859649123,-0.0423684210526
